Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1995-01-26,1995,1,26,Thursday,04,1995-04,248.8,249.02,247.93,248.08,3119900,248.08,-0.002893895546107972,249.65857142857143,249.20277777777775
1995-01-27,1995,1,27,Friday,04,1995-04,248.08,248.78,247.89,248.47,3395100,248.47,0.0015720710527646897,249.6657142857143,249.16421052631577
1995-01-30,1995,1,30,Monday,05,1995-05,248.47,248.65,246.56,246.56,3185600,246.56,-0.007687059414519859,249.49285714285716,249.03400000000002
1995-01-31,1995,1,31,Tuesday,05,1995-05,246.56,247.18,246.38,246.85,4095600,246.85,0.0011762189641202347,249.39928571428572,248.93000000000004
1995-02-01,1995,2,1,Wednesday,05,1995-05,246.85,248.27,246.85,247.5,3953200,247.5,0.00263315325263469,249.34428571428572,248.86500000000004
1995-02-02,1995,2,2,Thursday,05,1995-05,247.5,248.62,247.5,248.62,3221200,248.62,0.004525232796717127,249.24928571428572,248.85434782608698
1995-02-03,1995,2,3,Friday,05,1995-05,248.62,251.2,248.62,250.78,4410000,250.78,0.008687972425915458,249.1821428571429,248.93458333333334
1995-02-06,1995,2,6,Monday,06,1995-06,250.78,252.52,250.78,252.44,3256600,252.44,0.00661936227047466,249.1478571428572,249.07479999999998
1995-02-07,1995,2,7,Tuesday,06,1995-06,252.44,253.12,252.41,252.97,3151900,252.97,0.0020995039382472047,249.19500000000002,249.2246153846154
1995-02-08,1995,2,8,Wednesday,06,1995-06,252.97,253.83,252.96,253.79,3184300,253.79,0.0032414597046006577,249.39357142857145,249.39370370370372
1995-02-09,1995,2,9,Thursday,06,1995-06,253.79,254.54,253.79,254.28,3255700,254.28,0.0019307518268130153,249.72500000000005,249.56821428571428
1995-02-10,1995,2,10,Friday,06,1995-06,254.28,255.42,254.28,255.42,2956000,255.42,0.004483244435744549,250.25000000000003,249.77
1995-02-13,1995,2,13,Monday,07,1995-07,255.34,255.67,255.21,255.53,2551900,255.53,0.0004306656140480314,250.72071428571434,249.962
1995-02-14,1995,2,14,Tuesday,07,1995-07,255.53,255.87,254.83,255.24,3012100,255.24,-0.0011348698294453285,251.18071428571434,250.13225806451612
1995-02-15,1995,2,15,Wednesday,07,1995-07,255.24,257.47,255.23,257.47,3780400,257.47,0.008736858170921735,251.85142857142864,250.3615625
1995-02-16,1995,2,16,Thursday,07,1995-07,257.47,257.5,255.79,255.93,3609900,255.93,-0.0059813125320249405,252.3842857142858,250.53030303030303
1995-02-17,1995,2,17,Friday,07,1995-07,255.93,255.94,254.13,254.71,3546200,254.71,-0.004766873742147015,252.96642857142865,250.65323529411762
1995-02-21,1995,2,21,Tuesday,08,1995-08,254.71,254.87,253.78,253.86,3080900,253.86,-0.0033371523737207864,253.46714285714296,250.74485714285714
1995-02-22,1995,2,22,Wednesday,08,1995-08,253.86,254.39,253.72,253.94,3394600,253.94,0.0003151415381010825,253.92714285714297,250.8336111111111
1995-02-23,1995,2,23,Thursday,08,1995-08,253.94,255.42,253.94,254.95,3941000,254.95,0.003977295806591119,254.3792857142858,250.94486486486488
1995-02-24,1995,2,24,Friday,08,1995-08,254.95,255.47,254.34,255.47,3029300,255.47,0.0020396323933531413,254.71428571428578,251.06394736842105
1995-02-27,1995,2,27,Monday,09,1995-09,255.47,255.47,253.56,253.86,2857900,253.86,-0.006302112195790355,254.81571428571436,251.13564102564104
1995-02-28,1995,2,28,Tuesday,09,1995-09,253.86,256.57,253.85,256.57,3172200,256.57,0.010675201714927862,255.07285714285723,251.2715
1995-03-01,1995,3,1,Wednesday,09,1995-09,256.57,256.6,255.84,256.05,3626000,256.05,-0.00202681340922628,255.23428571428582,251.3880487804878
1995-03-02,1995,3,2,Thursday,09,1995-09,256.05,256.25,255.42,256.16,3300300,256.16,0.00042966559025803264,255.36857142857153,251.50166666666667
1995-03-03,1995,3,3,Friday,09,1995-09,256.16,256.9,255.87,256.9,3308400,256.9,0.0028887813233757775,255.4742857142858,251.62720930232555
1995-03-06,1995,3,6,Monday,10,1995-10,256.89,256.89,255.17,255.81,2988700,255.81,-0.004242881914313434,255.49428571428578,251.7222727272727
1995-03-07,1995,3,7,Tuesday,10,1995-10,255.81,255.91,253.69,254.13,3555500,254.13,-0.00656734565425432,255.4150000000001,251.77577777777773
1995-03-08,1995,3,8,Wednesday,10,1995-10,254.13,254.87,253.99,254.87,3497900,254.87,0.0029118570029391666,255.2292857142858,251.84304347826085
1995-03-09,1995,3,9,Thursday,10,1995-10,254.87,255.17,254.38,254.79,3201200,254.79,-0.0003138927005429393,255.14785714285722,251.90574468085106
1995-03-10,1995,3,10,Friday,10,1995-10,254.79,256.2,254.79,256.01,3830100,256.01,0.004788321800856865,255.24071428571435,251.99125
1995-03-13,1995,3,13,Monday,11,1995-11,256.01,256.36,255.73,256.18,2752800,256.18,0.000663969781149909,255.40642857142862,252.07673469387757
1995-03-14,1995,3,14,Tuesday,11,1995-11,256.18,257.36,256.18,257.26,3461800,257.26,0.004215852606454851,255.64357142857148,252.18040000000002
1995-03-15,1995,3,15,Wednesday,11,1995-11,257.26,257.39,256.55,257.39,3371500,257.39,0.0005053443126701307,255.8178571428572,252.3834
1995-03-16,1995,3,16,Thursday,11,1995-11,257.39,258.2,257.35,258.18,3366700,258.18,0.003069186768658305,256.0114285714286,252.59400000000002
1995-03-17,1995,3,17,Friday,11,1995-11,258.18,258.21,257.17,257.32,4173800,257.32,-0.003330952730494774,256.2585714285715,252.79120000000003
1995-03-20,1995,3,20,Monday,12,1995-12,257.32,257.87,257.28,257.83,3017400,257.83,0.001981887274720595,256.34857142857146,252.98620000000003
1995-03-21,1995,3,21,Tuesday,12,1995-12,257.83,258.35,256.93,257.15,3671100,257.15,-0.0026373684644732664,256.4271428571429,253.1618
1995-03-22,1995,3,22,Wednesday,12,1995-12,257.15,257.27,256.6,256.79,3131200,256.79,-0.001399904180854894,256.4721428571429,253.31800000000004
1995-03-23,1995,3,23,Thursday,12,1995-12,256.79,257.58,256.79,257.53,3214500,257.53,0.002881694029172266,256.51714285714286,253.50540000000004
1995-03-24,1995,3,24,Friday,12,1995-12,257.53,258.85,257.53,258.85,3695400,258.85,0.005125644897587156,256.7342857142857,253.71700000000004
1995-03-27,1995,3,27,Monday,13,1995-13,258.85,259.86,258.81,259.85,2963000,259.85,0.0038632411683239276,257.14285714285717,253.91500000000005
1995-03-28,1995,3,28,Tuesday,13,1995-13,259.85,260.28,259.32,260.27,3203600,260.27,0.0016162512999478018,257.5285714285714,254.08600000000007
1995-03-29,1995,3,29,Wednesday,13,1995-13,260.27,261.55,259.52,259.9,3859500,259.9,-0.001421581944924366,257.8935714285714,254.22560000000004
1995-03-30,1995,3,30,Thursday,13,1995-13,259.9,260.32,259.41,260.28,3629600,260.28,0.001462119629613623,258.1985714285714,254.38500000000008
1995-03-31,1995,3,31,Friday,13,1995-13,260.28,260.79,258.22,260.77,3530900,260.77,0.0018825504713118058,258.52642857142854,254.58020000000008
1995-04-03,1995,4,3,Monday,14,1995-14,260.6,260.85,259.62,260.81,2964300,260.81,0.00015342465240419934,258.78000000000003,254.80360000000007
1995-04-04,1995,4,4,Tuesday,14,1995-14,260.82,261.1,260.57,260.75,3305800,260.75,-0.00023004316995278717,259.02000000000004,255.05720000000008
1995-04-05,1995,4,5,Wednesday,14,1995-14,260.72,261.21,260.45,261.21,3151700,261.21,0.0017641091278164378,259.2364285714286,255.30260000000007
1995-04-06,1995,4,6,Thursday,14,1995-14,261.21,261.55,260.97,261.23,3204700,261.23,7.664152178277206e-05,259.5157142857143,255.55120000000005
1995-04-07,1995,4,7,Friday,14,1995-14,260.8,260.98,259.72,260.02,3147600,260.02,-0.004632017462647409,259.6721428571429,255.79000000000008
1995-04-10,1995,4,10,Monday,15,1995-15,260.02,261.61,260.02,261.61,2609800,261.61,0.006114900411779534,259.9907142857143,256.0528000000001
1995-04-11,1995,4,11,Tuesday,15,1995-15,261.59,262.53,261.56,262.53,3106600,262.53,0.003516736666217213,260.40071428571434,256.37220000000013
1995-04-12,1995,4,12,Wednesday,15,1995-15,262.53,262.99,262.14,262.96,3278800,262.96,0.001637880157622451,260.7885714285715,256.6944000000001
1995-04-13,1995,4,13,Thursday,15,1995-15,262.93,263.99,262.93,263.98,3015700,263.98,0.003878991346195848,261.1550000000001,257.0240000000001
1995-04-17,1995,4,17,Monday,16,1995-16,263.98,264.82,263.22,263.96,3339300,263.96,-7.583729985916055e-05,261.4485714285715,257.33080000000007
1995-04-18,1995,4,18,Tuesday,16,1995-16,263.96,264.23,262.51,262.8,3452400,262.8,-0.00439461925920992,261.6292857142858,257.57120000000003
1995-04-19,1995,4,19,Wednesday,16,1995-16,262.8,262.8,260.15,260.6,3780500,260.6,-0.008371315797724654,261.6792857142858,257.73440000000005
1995-04-20,1995,4,20,Thursday,16,1995-16,260.59,261.35,260.01,261.25,3684500,261.25,0.0024942205727584987,261.74857142857155,257.90000000000003
1995-04-21,1995,4,21,Friday,16,1995-16,261.26,262.51,261.26,262.51,4032500,262.51,0.004823003887559851,261.87285714285724,258.0744
1995-04-24,1995,4,24,Monday,17,1995-17,262.51,263.71,262.29,263.7,3262800,263.7,0.004533169773101919,262.07928571428585,258.2628
1995-04-25,1995,4,25,Tuesday,17,1995-17,263.71,264.02,263.59,263.97,3517900,263.97,0.001023849075364902,262.30928571428586,258.4338
1995-04-26,1995,4,26,Wednesday,17,1995-17,263.97,264.89,263.59,264.89,3526700,264.89,0.0034852953876571835,262.572142857143,258.621
1995-04-27,1995,4,27,Thursday,17,1995-17,264.9,265.7,264.9,265.7,3523100,265.7,0.0030578636936118286,262.89142857142866,258.8302
1995-04-28,1995,4,28,Friday,17,1995-17,265.7,266.18,264.55,266.17,3204400,266.17,0.0017689168201351357,263.3307142857144,259.0042
1995-05-01,1995,5,1,Monday,18,1995-18,266.2,266.27,265.37,265.94,2968300,265.94,-0.0008641506357761619,263.6400000000001,259.2044
1995-05-02,1995,5,2,Tuesday,18,1995-18,265.94,265.97,265.37,265.9,3025600,265.9,-0.00015044199652025636,263.8807142857144,259.42820000000006
1995-05-03,1995,5,3,Wednesday,18,1995-18,265.59,266.84,265.58,266.84,3928900,266.84,0.0035351728581543007,264.15785714285727,259.68780000000004
1995-05-04,1995,5,4,Thursday,18,1995-18,266.87,267.48,265.53,265.66,4349900,265.66,-0.0044220982310577694,264.2778571428573,259.92220000000003
1995-05-05,1995,5,5,Friday,18,1995-18,265.71,266.12,264.59,265.62,3423800,265.62,-0.00015060055849713816,264.39642857142866,260.1356
1995-05-08,1995,5,8,Monday,19,1995-19,265.61,267.01,265.27,267.01,2918100,267.01,0.005233094925042314,264.6971428571429,260.36640000000006
1995-05-09,1995,5,9,Tuesday,19,1995-19,267.03,267.76,266.56,266.56,3654200,266.56,-0.0016853757933129598,265.12285714285724,260.6204
1995-05-10,1995,5,10,Wednesday,19,1995-19,266.54,267.8,266.54,267.77,3819900,267.77,0.004539283711586073,265.5885714285715,260.8444
1995-05-11,1995,5,11,Thursday,19,1995-19,267.77,268.97,267.7,268.94,3399000,268.94,0.00436947184426506,266.0478571428572,261.10220000000004
1995-05-12,1995,5,12,Friday,19,1995-19,268.94,269.87,268.8,269.85,3610000,269.85,0.003383667932804535,266.48714285714294,261.37600000000003
1995-05-15,1995,5,15,Monday,20,1995-20,269.85,271.16,269.85,270.93,3162400,270.93,0.004002173606960424,266.98428571428576,261.6566000000001
1995-05-16,1995,5,16,Tuesday,20,1995-20,270.93,272.22,270.92,272.17,3662400,272.17,0.004576904681930394,267.5042857142858,261.9838000000001
1995-05-17,1995,5,17,Wednesday,20,1995-20,272.17,273.08,272.17,272.79,3479300,272.79,0.00227796996950258,268.01071428571436,262.35700000000014
1995-05-18,1995,5,18,Thursday,20,1995-20,272.81,272.89,270.87,270.95,3519000,270.95,-0.006745101654218488,268.3521428571429,262.67860000000013
1995-05-19,1995,5,19,Friday,20,1995-20,270.95,270.95,269.38,270.55,3540100,270.55,-0.0014763771767496436,268.6814285714286,262.9938000000001
1995-05-22,1995,5,22,Monday,21,1995-21,270.55,271.79,270.5,271.58,2856000,271.58,0.003807055353057587,269.0871428571429,263.30520000000007
1995-05-23,1995,5,23,Tuesday,21,1995-21,271.58,272.94,271.58,272.93,3626900,272.93,0.004970933685337631,269.5221428571429,263.64020000000005
1995-05-24,1995,5,24,Wednesday,21,1995-21,272.93,273.85,272.09,272.44,3938600,272.44,-0.0017952964039282815,270.0064285714286,263.94380000000007
1995-05-25,1995,5,25,Thursday,21,1995-21,272.44,272.48,271.28,271.96,3418200,271.96,-0.0017618961313560222,270.4592857142858,264.2352000000001
1995-05-26,1995,5,26,Friday,21,1995-21,271.96,271.96,270.18,270.57,2912200,270.57,-0.005110987551597113,270.71357142857147,264.48300000000006
1995-05-30,1995,5,30,Tuesday,22,1995-22,270.67,270.92,268.55,269.15,2809900,269.15,-0.005248229254149361,270.8985714285715,264.71960000000007
1995-05-31,1995,5,31,Wednesday,22,1995-22,269.18,270.28,268.4,270.25,3581800,270.25,0.00408696313750867,271.07571428571435,264.9680000000001
1995-06-01,1995,6,1,Thursday,22,1995-22,270.25,271.49,270.23,271.48,3459200,271.48,0.004551382003064264,271.2571428571429,265.25460000000004
1995-06-02,1995,6,2,Friday,22,1995-22,271.47,272.42,270.6,272.27,3660000,272.27,0.002909893897799831,271.43000000000006,265.5642
1995-06-05,1995,6,5,Monday,23,1995-23,272.27,274.34,272.27,274.22,3375200,274.22,0.007162053423865666,271.6650000000001,265.898
1995-06-06,1995,6,6,Tuesday,23,1995-23,274.22,275.04,274.2,274.69,3404900,274.69,0.001713956744989087,271.8450000000001,266.2148
1995-06-07,1995,6,7,Wednesday,23,1995-23,274.69,275.04,274.36,274.81,3277900,274.81,0.00043683831271978946,271.98928571428576,266.514
1995-06-08,1995,6,8,Thursday,23,1995-23,274.81,275.8,274.79,275.73,2903600,275.73,0.003347816440114171,272.33071428571435,266.8232
1995-06-09,1995,6,9,Friday,23,1995-23,275.73,275.79,274.59,275.21,3275700,275.21,-0.0018859736355495427,272.6635714285715,267.1294
1995-06-12,1995,6,12,Monday,24,1995-24,275.21,276.48,275.21,276.45,2899200,276.45,0.004505725774696323,273.0114285714286,267.45279999999997
1995-06-13,1995,6,13,Tuesday,24,1995-24,276.45,278.23,276.45,278.23,3396600,278.23,0.006438772655809721,273.3900000000001,267.80199999999996
1995-06-14,1995,6,14,Wednesday,24,1995-24,278.23,278.85,277.82,278.85,3307700,278.85,0.002228354572497704,273.8478571428572,268.1628
1995-06-15,1995,6,15,Thursday,24,1995-24,278.85,280.29,278.85,280.29,3347000,280.29,0.005164075344763264,274.44285714285724,268.5536
1995-06-16,1995,6,16,Friday,24,1995-24,280.28,281.35,280.19,280.81,4427400,280.81,0.0018551821250114564,275.1742857142859,268.9456
1995-06-19,1995,6,19,Monday,25,1995-25,280.8,282.23,280.8,282.23,3229900,282.23,0.005056847833339928,276.10857142857157,269.36560000000003
1995-06-20,1995,6,20,Tuesday,25,1995-25,282.37,282.56,282.06,282.54,3823700,282.54,0.0010983862329536631,276.98642857142875,269.81600000000003
1995-06-21,1995,6,21,Wednesday,25,1995-25,282.57,283.0,282.06,282.75,3982100,282.75,0.0007432273261389621,277.79142857142875,270.2388
1995-06-22,1995,6,22,Thursday,25,1995-25,282.72,284.37,282.72,284.37,4210000,284.37,0.005729425701812563,278.65571428571445,270.67560000000003
1995-06-23,1995,6,23,Friday,25,1995-25,284.37,284.4,283.73,284.02,3186300,284.02,-0.0012308123554716222,279.35571428571444,271.09680000000003
1995-06-26,1995,6,26,Monday,26,1995-26,284.03,284.06,281.27,281.31,2967200,281.31,-0.009541551862209507,279.8285714285716,271.44340000000005
1995-06-27,1995,6,27,Tuesday,26,1995-26,281.32,281.76,280.19,280.29,3469600,280.29,-0.0036258541200955285,280.2200000000002,271.7700000000001
1995-06-28,1995,6,28,Wednesday,26,1995-26,280.29,280.29,279.0,279.94,3680600,279.94,-0.0012487284342835858,280.5207142857145,272.1128000000001
1995-06-29,1995,6,29,Thursday,26,1995-26,279.94,281.2,279.94,281.08,3130800,281.08,0.004072244484237153,280.9400000000002,272.52240000000006
1995-06-30,1995,6,30,Friday,26,1995-26,281.07,283.63,281.05,283.63,3116500,283.63,0.009072215854440735,281.4528571428574,272.9700000000001
