Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1995-02-24,1995,2,24,Friday,08,1995-08,486.82,488.28,485.7,488.11,302930000,488.11,0.002464483539931228,483.10928571428565,472.51631578947354
1995-02-27,1995,2,27,Monday,09,1995-09,488.26,488.26,483.18,483.81,285790000,483.81,-0.008809464919820598,483.2999999999999,472.80589743589735
1995-02-28,1995,2,28,Tuesday,09,1995-09,483.81,487.44,483.77,487.39,317220000,487.39,0.00739963437694402,483.7699999999999,473.1704999999999
1995-03-01,1995,3,1,Wednesday,09,1995-09,487.39,487.83,484.92,485.65,362600000,485.65,-0.0035700787863046646,484.08857142857136,473.47487804878045
1995-03-02,1995,3,2,Thursday,09,1995-09,485.65,485.71,483.19,485.13,330030000,485.13,-0.0010707073411035939,484.4414285714285,473.7523809523809
1995-03-03,1995,3,3,Friday,09,1995-09,485.13,485.42,483.07,485.42,330840000,485.42,0.0005977955228555487,484.72428571428566,474.02372093023246
1995-03-06,1995,3,6,Monday,10,1995-10,485.42,485.7,481.52,485.63,298870000,485.63,0.0004325974398857735,485.00857142857143,474.28749999999997
1995-03-07,1995,3,7,Tuesday,10,1995-10,485.63,485.63,479.7,482.12,355550000,482.12,-0.007227744847586148,484.9778571428571,474.4615555555555
1995-03-08,1995,3,8,Wednesday,10,1995-10,482.12,484.08,481.57,483.14,349780000,483.14,0.0021156963859216837,484.8778571428571,474.65021739130424
1995-03-09,1995,3,9,Thursday,10,1995-10,483.14,483.74,482.05,483.16,319320000,483.16,4.13731280080043e-05,484.73071428571427,474.8312765957446
1995-03-10,1995,3,10,Friday,10,1995-10,483.16,490.37,483.16,489.57,382940000,489.57,0.013266834203006894,485.27357142857136,475.13833333333326
1995-03-13,1995,3,13,Monday,11,1995-11,489.57,491.28,489.35,490.05,275280000,490.05,0.0009804123242218576,485.7971428571428,475.4426530612244
1995-03-14,1995,3,14,Tuesday,11,1995-11,490.05,493.69,490.05,492.89,346160000,492.89,0.005795381953296985,486.35571428571427,475.7915999999999
1995-03-15,1995,3,15,Wednesday,11,1995-11,492.89,492.89,490.83,491.88,309540000,491.88,-0.0020491585051594097,486.7107142857143,476.4469999999999
1995-03-16,1995,3,16,Thursday,11,1995-11,491.87,495.74,491.78,495.41,336670000,495.41,0.007176544572365495,487.23214285714283,477.1409999999999
1995-03-17,1995,3,17,Friday,11,1995-11,495.43,496.67,494.95,495.52,417380000,495.52,0.00022200874174815866,488.06857142857143,477.8445999999999
1995-03-20,1995,3,20,Monday,12,1995-12,495.52,496.61,495.27,496.14,301740000,496.14,0.0012512626100105173,488.69357142857143,478.5537999999999
1995-03-21,1995,3,21,Tuesday,12,1995-12,496.15,499.19,494.04,495.07,367110000,495.07,-0.0021566640315777708,489.36642857142857,479.23859999999985
1995-03-22,1995,3,22,Wednesday,12,1995-12,495.07,495.67,493.67,495.67,313120000,495.67,0.001211962135938327,490.1192857142857,479.9183999999998
1995-03-23,1995,3,23,Thursday,12,1995-12,495.67,496.77,494.19,495.95,318530000,495.95,0.0005648894863754528,490.87142857142857,480.6041999999998
1995-03-24,1995,3,24,Friday,12,1995-12,496.07,500.97,496.07,500.97,358370000,500.97,0.01012196570241497,491.96714285714285,481.3907999999999
1995-03-27,1995,3,27,Monday,13,1995-13,500.97,503.2,500.93,503.2,296270000,503.2,0.004451386272420033,493.47285714285715,482.1353999999999
1995-03-28,1995,3,28,Tuesday,13,1995-13,503.19,503.91,501.83,503.9,320360000,503.9,0.001391060557377699,494.95571428571424,482.82579999999984
1995-03-29,1995,3,29,Wednesday,13,1995-13,503.92,508.15,500.96,503.12,385940000,503.12,-0.001547923772067139,496.3814285714285,483.48719999999986
1995-03-30,1995,3,30,Thursday,13,1995-13,503.17,504.66,501.0,502.22,362940000,502.22,-0.0017888255390738905,497.28499999999997,484.1373999999999
1995-03-31,1995,3,31,Friday,13,1995-13,501.94,502.22,495.7,500.71,353060000,500.71,-0.0030066699095112615,498.0464285714285,484.81259999999986
1995-04-03,1995,4,3,Monday,14,1995-14,500.7,501.91,500.2,501.85,296430000,501.85,0.0022767962850602785,498.68642857142856,485.55399999999986
1995-04-04,1995,4,4,Tuesday,14,1995-14,501.85,505.26,501.85,505.24,330580000,505.24,0.006754974772601896,499.64071428571424,486.3423999999999
1995-04-05,1995,4,5,Wednesday,14,1995-14,505.27,505.57,503.17,505.57,315170000,505.57,0.0006531887740925946,500.3664285714285,487.1365999999999
1995-04-06,1995,4,6,Thursday,14,1995-14,505.63,507.1,505.0,506.08,320460000,506.08,0.001008721325748807,501.1207142857142,487.90939999999995
1995-04-07,1995,4,7,Friday,14,1995-14,506.13,507.19,503.59,506.42,314760000,506.42,0.0006718836241119686,501.8549999999999,488.67139999999995
1995-04-10,1995,4,10,Monday,15,1995-15,506.3,507.01,504.61,507.01,260980000,507.01,0.0011650336129040983,502.70785714285705,489.4037999999999
1995-04-11,1995,4,11,Tuesday,15,1995-15,507.24,508.85,505.29,505.53,310660000,505.53,-0.0029190961870995125,503.4121428571428,490.1441999999999
1995-04-12,1995,4,12,Wednesday,15,1995-15,505.59,507.17,505.07,507.17,327880000,507.17,0.0032441490166708054,504.21357142857136,490.8791999999999
1995-04-13,1995,4,13,Thursday,15,1995-15,507.19,509.83,507.17,509.23,301580000,509.23,0.0040617495199906095,504.8035714285714,491.6557999999999
1995-04-17,1995,4,17,Monday,16,1995-16,509.23,512.03,505.43,506.13,333930000,506.13,-0.006087634343292625,505.0128571428571,492.32259999999985
1995-04-18,1995,4,18,Tuesday,16,1995-16,506.43,507.65,504.12,505.37,344680000,505.37,-0.0015016097806748174,505.11785714285713,492.8569999999998
1995-04-19,1995,4,19,Wednesday,16,1995-16,505.37,505.89,501.19,504.92,378050000,504.92,-0.0008904004863778958,505.24642857142857,493.3325999999998
1995-04-20,1995,4,20,Thursday,16,1995-16,504.92,506.5,503.44,505.29,368450000,505.29,0.0007327796628138206,505.4657142857142,493.8221999999998
1995-04-21,1995,4,21,Friday,16,1995-16,505.63,508.49,505.63,508.49,403250000,508.49,0.0063329605480781925,506.02142857142854,494.36819999999983
1995-04-24,1995,4,24,Monday,17,1995-17,508.49,513.02,507.44,512.89,326280000,512.89,0.008653119035901602,506.80999999999995,495.0221999999999
1995-04-25,1995,4,25,Tuesday,17,1995-17,512.8,513.54,511.32,512.1,351790000,512.1,-0.001540367408091492,507.3,495.6349999999999
1995-04-26,1995,4,26,Wednesday,17,1995-17,511.99,513.04,510.47,512.66,350810000,512.66,0.00109353170336135,507.80642857142857,496.25519999999983
1995-04-27,1995,4,27,Thursday,17,1995-17,512.7,513.62,511.63,513.55,350850000,513.55,0.0017360720459183021,508.34000000000003,496.87519999999984
1995-04-28,1995,4,28,Friday,17,1995-17,513.64,515.29,510.9,514.71,320440000,514.71,0.0022588534850771502,508.9321428571429,497.4785999999998
1995-05-01,1995,5,1,Monday,18,1995-18,514.76,515.6,513.42,514.26,296830000,514.26,-0.0008743023990606114,509.45,498.05939999999975
1995-05-02,1995,5,2,Tuesday,18,1995-18,514.23,515.18,513.03,514.86,302560000,514.86,0.0011666775066001556,510.11642857142857,498.7171999999997
1995-05-03,1995,5,3,Wednesday,18,1995-18,514.93,520.54,514.86,520.48,392370000,520.48,0.010915579530520247,511.06714285714287,499.4723999999997
1995-05-04,1995,5,4,Thursday,18,1995-18,520.48,525.4,519.44,520.54,434990000,520.54,0.00011527351837758992,511.875,500.1817999999997
1995-05-05,1995,5,5,Friday,18,1995-18,520.75,522.35,518.28,520.12,342380000,520.12,-0.0008068216234761172,512.8742857142857,500.8459999999997
1995-05-08,1995,5,8,Monday,19,1995-19,520.09,525.15,519.14,523.96,291810000,523.96,0.00738296333830335,514.2021428571428,501.56299999999965
1995-05-09,1995,5,9,Tuesday,19,1995-19,523.96,525.99,521.79,523.56,361300000,523.56,-0.0007634636179998378,515.5335714285713,502.35799999999966
1995-05-10,1995,5,10,Wednesday,19,1995-19,523.74,524.4,521.53,524.36,381990000,524.36,0.0015279773028862298,516.8957142857142,503.0973999999997
1995-05-11,1995,5,11,Thursday,19,1995-19,524.33,524.89,522.7,524.37,339900000,524.37,1.90894917702078e-05,518.03,503.87179999999967
1995-05-12,1995,5,12,Friday,19,1995-19,524.37,527.05,523.3,525.55,361000000,525.55,0.0022503054842364367,518.9342857142857,504.6801999999996
1995-05-15,1995,5,15,Monday,20,1995-20,525.55,527.74,525.0,527.74,316240000,527.74,0.004167067818996895,520.0514285714285,505.5265999999997
1995-05-16,1995,5,16,Tuesday,20,1995-20,527.74,529.08,526.45,528.19,366180000,528.19,0.0008527157603337443,521.1607142857141,506.37779999999964
1995-05-17,1995,5,17,Wednesday,20,1995-20,528.19,528.42,525.38,527.07,347930000,527.07,-0.0021204398265977087,522.1264285714284,507.27679999999964
1995-05-18,1995,5,18,Thursday,20,1995-20,526.88,526.88,519.58,519.58,351900000,519.58,-0.014210617432776185,522.4742857142855,508.0055999999997
1995-05-19,1995,5,19,Friday,20,1995-20,519.58,519.58,517.07,519.19,354010000,519.19,-0.0007506344270550303,522.8264285714284,508.72619999999966
1995-05-22,1995,5,22,Monday,21,1995-21,519.19,524.34,519.19,523.65,285600000,523.65,0.008590346408219984,523.4542857142856,509.4077999999997
1995-05-23,1995,5,23,Tuesday,21,1995-21,523.65,528.59,523.65,528.59,362690000,528.59,0.009433786328824967,524.0335714285712,510.17859999999973
1995-05-24,1995,5,24,Wednesday,21,1995-21,528.59,531.91,525.57,528.61,391770000,528.61,3.775798838367983e-05,524.6099999999998,510.89299999999974
1995-05-25,1995,5,25,Thursday,21,1995-21,528.37,529.04,524.89,528.59,341820000,528.59,-3.775656277182904e-05,525.2149999999998,511.62719999999973
1995-05-26,1995,5,26,Friday,21,1995-21,528.59,528.59,522.51,523.65,291220000,523.65,-0.009345621730311171,525.192857142857,512.1919999999998
1995-05-30,1995,5,30,Tuesday,22,1995-22,523.65,525.58,521.38,523.58,283020000,523.58,-0.00013369105500771195,525.1942857142856,512.7531999999998
1995-05-31,1995,5,31,Wednesday,22,1995-22,523.7,533.41,522.17,533.4,358180000,533.4,0.018755504418981106,525.8399999999998,513.4983999999998
1995-06-01,1995,6,1,Thursday,22,1995-22,533.4,534.21,530.05,533.49,345920000,533.49,0.00016866482226229884,526.4914285714284,514.2667999999999
1995-06-02,1995,6,2,Friday,22,1995-22,533.49,536.91,529.55,532.51,366000000,532.51,-0.0018369238161702883,526.9885714285713,515.0035999999999
