Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1995-02-14,1995,2,14,Tuesday,07,1995-07,3954.2,3965.65,3949.5,3958.25,29760000,3958.25,0.001021705752200841,3903.2885714285703,3889.1374193548386
1995-02-15,1995,2,15,Wednesday,07,1995-07,3958.3,3997.95,3953.2,3986.17,41530000,3986.17,0.007053602444262008,3911.554999999999,3892.1696875
1995-02-16,1995,2,16,Thursday,07,1995-07,3986.2,3987.52,3964.31,3987.52,37770000,3987.52,0.000338695460231353,3920.8071428571416,3895.0590909090906
1995-02-17,1995,2,17,Friday,07,1995-07,3969.69,3969.69,3952.53,3953.54,36110000,3953.54,-0.008521582412705841,3929.4828571428557,3896.7791176470587
1995-02-21,1995,2,21,Tuesday,08,1995-08,3953.5,3969.69,3952.53,3963.97,30060000,3963.97,0.0026381247028164356,3938.0621428571417,3898.698857142857
1995-02-22,1995,2,22,Wednesday,08,1995-08,3964.0,3986.85,3962.29,3973.05,28680000,3973.05,0.0022906526013337647,3947.025714285713,3900.764166666666
1995-02-23,1995,2,23,Thursday,08,1995-08,3973.73,4020.49,3973.73,4003.33,37840000,4003.33,0.007621356118029832,3956.494285714285,3903.5362162162155
1995-02-24,1995,2,24,Friday,08,1995-08,4003.3,4013.09,3990.88,4011.74,27220000,4011.74,0.0021007291293138053,3962.4299999999994,3906.383684210525
1995-02-27,1995,2,27,Monday,09,1995-09,4011.7,4021.23,3974.74,3988.57,25820000,3988.57,-0.0057755293043422196,3966.0614285714278,3908.491025641025
1995-02-28,1995,2,28,Tuesday,09,1995-09,3988.6,4011.05,3978.89,4011.05,22440000,4011.05,0.00563610017712346,3971.3228571428563,3911.054999999999
1995-03-01,1995,3,1,Wednesday,09,1995-09,4011.1,4014.51,3985.11,3994.8,33450000,3994.8,-0.004051308211610927,3975.5678571428566,3913.0975609756083
1995-03-02,1995,3,2,Thursday,09,1995-09,3994.8,3995.49,3959.18,3979.93,31590000,3979.93,-0.003722368330265291,3978.9428571428566,3914.688809523808
1995-03-03,1995,3,3,Friday,09,1995-09,3979.9,3989.61,3959.18,3989.61,27300000,3989.61,0.0024322477901663753,3982.5528571428563,3916.431162790696
1995-03-06,1995,3,6,Monday,10,1995-10,3989.6,4001.02,3955.37,3997.56,30840000,3997.56,0.0019926636833724753,3985.649285714285,3918.2749999999983
1995-03-07,1995,3,7,Tuesday,10,1995-10,3997.6,3997.91,3945.69,3962.63,31540000,3962.63,-0.008737873920407702,3985.9621428571418,3919.2606666666647
1995-03-08,1995,3,8,Wednesday,10,1995-10,3962.6,3985.46,3956.06,3979.23,29030000,3979.23,0.004189161780728368,3985.466428571428,3920.5643478260854
1995-03-09,1995,3,9,Thursday,10,1995-10,3979.2,3993.76,3971.28,3983.39,23710000,3983.39,0.0010454063046854145,3985.1714285714284,3921.901063829786
1995-03-10,1995,3,10,Friday,10,1995-10,3984.1,4048.4,3984.08,4035.61,30910000,4035.61,0.013109491225312242,3991.033571428571,3924.2699999999986
1995-03-13,1995,3,13,Monday,11,1995-11,4035.6,4042.52,4019.7,4025.23,25950000,4025.23,-0.0025721332529212715,3995.4092857142855,3926.330408163264
1995-03-14,1995,3,14,Tuesday,11,1995-11,4025.6,4060.51,4025.58,4048.75,32390000,4048.75,0.005843149247465096,4000.816428571428,3928.7787999999987
1995-03-15,1995,3,15,Wednesday,11,1995-11,4048.8,4054.63,4029.04,4038.37,28270000,4038.37,-0.002563725301018782,4003.3192857142853,3932.776599999999
1995-03-16,1995,3,16,Thursday,11,1995-11,4038.4,4075.38,4038.03,4069.15,33510000,4069.15,0.0076218336267024345,4007.4199999999996,3937.006599999999
1995-03-17,1995,3,17,Friday,11,1995-11,4069.2,4080.22,4058.78,4073.65,45540000,4073.65,0.0011058820903619981,4013.497142857143,3941.4611999999984
1995-03-20,1995,3,20,Monday,12,1995-12,4073.7,4088.87,4071.57,4083.68,27480000,4083.68,0.0024621726307663128,4018.685,3945.786599999998
1995-03-21,1995,3,21,Tuesday,12,1995-12,4083.7,4109.27,4061.89,4072.61,31480000,4072.61,-0.0027107472681637823,4024.242857142857,3950.0117999999975
1995-03-22,1995,3,22,Wednesday,12,1995-12,4072.6,4082.99,4060.51,4082.99,28500000,4082.99,0.002548705262402473,4031.604285714285,3954.3367999999978
1995-03-23,1995,3,23,Thursday,12,1995-12,4083.0,4094.75,4068.12,4087.83,27750000,4087.83,0.0011854273221834077,4038.6199999999994,3958.8527999999974
1995-03-24,1995,3,24,Friday,12,1995-12,4087.8,4139.36,4087.14,4138.67,30780000,4138.67,0.01243687794706938,4048.6992857142855,3964.4461999999976
1995-03-27,1995,3,27,Monday,13,1995-13,4138.7,4157.34,4132.1,4157.34,24330000,4157.34,0.004511092265734984,4062.607142857142,3969.4237999999978
1995-03-28,1995,3,28,Tuesday,13,1995-13,4156.65,4156.65,4137.63,4151.81,22290000,4151.81,-0.0013301258410624017,4074.9342857142847,3973.813199999998
1995-03-29,1995,3,29,Wednesday,13,1995-13,4151.8,4198.84,4139.7,4160.8,37490000,4160.8,0.0021652594812573422,4087.606428571428,3978.4159999999974
1995-03-30,1995,3,30,Thursday,13,1995-13,4160.8,4183.28,4153.88,4172.56,33970000,4172.56,0.0028264406984928048,4097.388571428571,3983.2875999999974
1995-03-31,1995,3,31,Friday,13,1995-13,4172.2,4172.21,4111.69,4157.69,34440000,4157.69,-0.003563787453909395,4106.849999999999,3988.7971999999972
1995-04-03,1995,4,3,Monday,14,1995-14,4157.7,4172.56,4155.96,4168.41,25610000,4168.41,0.0025784065177607562,4115.397142857141,3994.776799999998
1995-04-04,1995,4,4,Tuesday,14,1995-14,4168.41,4201.61,4168.41,4201.61,30290000,4201.61,0.007964597001442142,4127.057142857141,4001.460799999997
1995-04-05,1995,4,5,Wednesday,14,1995-14,4201.6,4210.6,4188.12,4200.57,26740000,4200.57,-0.00024753346844241797,4136.444285714284,4008.218199999997
